Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Giannis Antetokounmpo,72,30.4,13.7,6.5,1.4,1.6,4.1,0.644,30.9,0.22,10.4,7.4,8.9,1.0,0.932
James Harden,78,35.3,6.5,7.3,2.0,0.7,4.9,0.616,30.6,0.191,11.0,9.3,5.5,0.88,0.768
Paul George,77,27.3,8.0,4.0,2.1,0.4,2.6,0.583,23.3,0.151,7.2,6.6,16.6,0.82,0.352
Nikola JokiÄ‡,80,23.1,12.4,8.4,1.6,0.8,3.6,0.589,26.3,0.17,9.1,7.0,3.2,0.9,0.21
Stephen Curry,69,29.1,5.6,5.5,1.4,0.4,3.0,0.641,24.4,0.15,6.6,5.1,16.2,0.95,0.173
Damian Lillard,80,26.2,4.7,7.0,1.1,0.4,2.7,0.588,23.7,0.153,6.4,6.0,13.7,0.88,0.068
Joel Embiid,64,29.4,14.5,4.0,0.7,2.0,3.7,0.593,26.1,0.145,4.9,3.8,10.4,0.85,0.049
Kevin Durant,78,27.1,6.7,6.1,0.7,1.1,3.0,0.631,24.2,0.153,5.5,5.1,16.1,0.95,0.025
Kawhi Leonard,60,28.2,7.7,3.5,1.9,0.4,2.1,0.606,25.8,0.168,7.2,4.7,5.3,0.97,0.013
Russell Westbrook,73,22.9,11.1,10.7,1.9,0.5,4.5,0.501,21.1,0.093,5.2,4.7,5.0,0.82,0.008
